id,label,filename,hash,normalized_hash,characters,words,sentences,created_at
ai_1,ai,data\raw\ai\1.txt,6c8ee4d16019d0834548b4f6ddb61cab4e59bf309ff869e0b2b7f0711e140ca7,9bbd677e33b5d4fcbb1e3f93e2bb7fbdfab507ece5d95ec5c27c7eaef57035ed,469,73,8,2026-09-20T18:34:32.409473+00:00
ai_11,ai,data\raw\ai\11.txt,71a82e9c80413d7907c2e74a0bb697aff63891d8d0eaf245f296619697dbbc68,10ba09b7d7a0fd0dd4061f00ff77de54aea9c499b8731ebc9f28a17475bdfed1,403,74,10,2026-09-20T18:34:32.410545+00:00
ai_12,ai,data\raw\ai\12.txt,05c3d20214f3fafae55c1884268f3647325864e5fc515661658be2595f5a0320,114b9dfbf19757dd848dd2ac359826a27c62960b0a082359b50a93dbee215acd,433,67,8,2026-09-20T18:34:32.411078+00:00
ai_13,ai,data\raw\ai\13.txt,35124a0c3d5b72e96241d552a2fa001df1972d53a6adf0019cc239f728f79253,9bafa204262a6756d36f7cde23ddc3ba32c0e3690347343f932b4c4a6ebfd9a6,392,61,10,2026-09-20T18:34:32.411078+00:00
ai_14,ai,data\raw\ai\14.txt,38006a911ee37fc92b7b97036a545fe3d961ee96dba0f903ddec1d25d439f7ac,adbd4f4b5b1e2936909d527a06ebd1ba1ecba430027fe6a3816826f3fcdf3262,408,66,11,2026-09-20T18:34:32.411608+00:00
ai_15,ai,data\raw\ai\15.txt,6a5ca6d824ad0c691b5471adf14b072db8573db94ae314cd05b8cb96de3411e3,ddabe4bfecf5abb1f1c73239318e8b0931c3d19dd9a03cc8eece21cd40f63364,426,70,10,2026-09-20T18:34:32.412150+00:00
ai_16,ai,data\raw\ai\16.txt,acee2b334ad4318f24896cb40a24558196f47b654483381e3b6dc1f92286af63,a62b076e085026db59b59d321cdafd7ab0144fbc415c8b5e739ddd89a8c326b4,443,69,10,2026-09-20T18:34:32.412150+00:00
ai_17,ai,data\raw\ai\17.txt,2aa8c25dadaa9988a64fe0b938aae4b24edd17e3473607772e7672114eded4f7,d0c8b1472f2ff3f89e63f05d7efff77a59212db37b8d9f73c0606e31e8886041,397,65,9,2026-09-20T18:34:32.412690+00:00
ai_18,ai,data\raw\ai\18.txt,4f21fe58808f43ec0928822e8bb349157505ce65dc26bb539db5457484fb6e91,43e6c8da72e32712e93283c8fc35c62776f1d0ca6e5011acd685ed27cf99bdf2,423,67,12,2026-09-20T18:34:32.412690+00:00
ai_19,ai,data\raw\ai\19.txt,22d42c439077e5697833f2a1d178b57e16f37299e60c6d4739991c1be091d76c,6f04556f60a95eb1389902356e0fdebe84cbe385fee1f2acea5d5ed6817437a4,412,69,11,2026-09-20T18:34:32.413333+00:00
ai_2,ai,data\raw\ai\2.txt,cc3943beb473ce856f186f8c8696ef611af23f55911a53e02896602880087d12,25d08fdffc5b2c4b277bc28e87d9122128542c79ee0c7838bb59a82f5e65721c,457,76,9,2026-09-20T18:34:32.413333+00:00
ai_20,ai,data\raw\ai\20.txt,dfbfab539ff1fbe18cc3b2c8d005e6b7f67d445213e8bdfd77bd523405968493,4539a0be8f39ab0cbcd0b7ceca9bc63026e2661b75d106a6c33066cc81504944,403,56,9,2026-09-20T18:34:32.414076+00:00
